Date,Open,High,Low,Close,Volume
1982-09-13,119.9598,119.9598,119.9598,119.9598,0
1982-09-14,119.7099,119.7099,119.7099,119.7099,0
1982-09-15,119.744,119.744,119.744,119.744,0
1982-09-16,119.6651,119.6651,119.6651,119.6651,0
1982-09-17,119.4451,119.4451,119.4451,119.4451,0
1982-09-20,119.5866,119.5866,119.5866,119.5866,0
1982-09-21,119.6367,119.6367,119.6367,119.6367,0
1982-09-22,119.1548,119.1548,119.1548,119.1548,0
1982-09-23,119.6805,119.6805,119.6805,119.6805,0
1982-09-24,120.0549,120.0549,120.0549,120.0549,0
1982-09-27,121.0253,121.0253,121.0253,121.0253,0
1982-09-28,121.1762,121.1762,121.1762,121.1762,0
1982-09-29,120.7215,120.7215,120.7215,120.7215,0
1982-09-30,120.7381,120.7381,120.7381,120.7381,0
1982-10-01,120.7337,120.7337,120.7337,120.7337,0
1982-10-04,121.8811,121.8811,121.8811,121.8811,0
1982-10-05,121.9465,121.9465,121.9465,121.9465,0
1982-10-06,121.8157,121.8157,121.8157,121.8157,0
1982-10-12,119.506,119.506,119.506,119.506,0
1982-10-13,120.5173,120.5173,120.5173,120.5173,0
1982-10-14,120.8886,120.8886,120.8886,120.8886,0
1982-10-15,121.1194,121.1194,121.1194,121.1194,0
1982-10-18,120.8459,120.8459,120.8459,120.8459,0
1982-10-19,120.7637,120.7637,120.7637,120.7637,0
1982-10-20,121.3298,121.3298,121.3298,121.3298,0
1982-10-21,121.6927,121.6927,121.6927,121.6927,0
1982-10-22,121.7289,121.7289,121.7289,121.7289,0
1982-10-25,122.6022,122.6022,122.6022,122.6022,0
1982-10-26,122.4213,122.4213,122.4213,122.4213,0
1982-10-27,122.3822,122.3822,122.3822,122.3822,0
1982-10-28,122.8649,122.8649,122.8649,122.8649,0
1982-10-29,122.8289,122.8289,122.8289,122.8289,0
1982-11-01,122.5631,122.5631,122.5631,122.5631,0
1982-11-03,122.5379,122.5379,122.5379,122.5379,0
1982-11-04,123.1414,123.1414,123.1414,123.1414,0
1982-11-05,122.9807,122.9807,122.9807,122.9807,0
1982-11-08,123.3584,123.3584,123.3584,123.3584,0
1982-11-09,122.4092,122.4092,122.4092,122.4092,0
1982-11-10,121.9878,121.9878,121.9878,121.9878,0
1982-11-12,122.4177,122.4177,122.4177,122.4177,0
1982-11-15,122.4157,122.4157,122.4157,122.4157,0
1982-11-16,121.8478,121.8478,121.8478,121.8478,0
1982-11-17,121.9807,121.9807,121.9807,121.9807,0
1982-11-18,121.8262,121.8262,121.8262,121.8262,0
1982-11-19,120.6444,120.6444,120.6444,120.6444,0
1982-11-22,120.5532,120.5532,120.5532,120.5532,0
1982-11-23,120.9679,120.9679,120.9679,120.9679,0
1982-11-24,119.8919,119.8919,119.8919,119.8919,0
1982-11-26,119.863,119.863,119.863,119.863,0
1982-11-29,119.4717,119.4717,119.4717,119.4717,0
1982-11-30,118.8069,118.8069,118.8069,118.8069,0
1982-12-01,118.7922,118.7922,118.7922,118.7922,0
1982-12-02,118.431,118.431,118.431,118.431,0
1982-12-03,117.7796,117.7796,117.7796,117.7796,0
1982-12-06,118.0463,118.0463,118.0463,118.0463,0
1982-12-07,117.6988,117.6988,117.6988,117.6988,0
1982-12-08,117.6827,117.6827,117.6827,117.6827,0
1982-12-09,118.5732,118.5732,118.5732,118.5732,0
1982-12-10,118.2673,118.2673,118.2673,118.2673,0
1982-12-13,119.1241,119.1241,119.1241,119.1241,0
1982-12-14,118.0902,118.0902,118.0902,118.0902,0
1982-12-15,118.4072,118.4072,118.4072,118.4072,0
1982-12-16,117.7051,117.7051,117.7051,117.7051,0
1982-12-17,117.8806,117.8806,117.8806,117.8806,0
1982-12-20,117.7082,117.7082,117.7082,117.7082,0
1982-12-21,117.3209,117.3209,117.3209,117.3209,0
1982-12-22,117.0415,117.0415,117.0415,117.0415,0
1982-12-23,116.7514,116.7514,116.7514,116.7514,0
1982-12-24,116.6757,116.6757,116.6757,116.6757,0
1982-12-27,116.4467,116.4467,116.4467,116.4467,0
1982-12-28,115.7857,115.7857,115.7857,115.7857,0
1982-12-29,115.429,115.429,115.429,115.429,0
1982-12-30,115.7763,115.7763,115.7763,115.7763,0
1982-12-31,115.5967,115.5967,115.5967,115.5967,0
1983-01-03,115.1227,115.1227,115.1227,115.1227,0
1983-01-04,114.6756,114.6756,114.6756,114.6756,0
1983-01-05,114.3217,114.3217,114.3217,114.3217,0
1983-01-06,114.5714,114.5714,114.5714,114.5714,0
1983-01-07,114.1872,114.1872,114.1872,114.1872,0
1983-01-10,113.8025,113.8025,113.8025,113.8025,0
1983-01-11,114.2368,114.2368,114.2368,114.2368,0
1983-01-12,114.7869,114.7869,114.7869,114.7869,0
1983-01-13,114.2078,114.2078,114.2078,114.2078,0
1983-01-14,114.6477,114.6477,114.6477,114.6477,0
1983-01-17,114.5113,114.5113,114.5113,114.5113,0
1983-01-18,115.5777,115.5777,115.5777,115.5777,0
1983-01-19,116.241,116.241,116.241,116.241,0
1983-01-20,116.4046,116.4046,116.4046,116.4046,0
1983-01-21,116.9587,116.9587,116.9587,116.9587,0
1983-01-24,118.159,118.159,118.159,118.159,0
1983-01-25,117.0699,117.0699,117.0699,117.0699,0
1983-01-26,117.0423,117.0423,117.0423,117.0423,0
1983-01-27,117.1626,117.1626,117.1626,117.1626,0
1983-01-28,117.3302,117.3302,117.3302,117.3302,0
1983-01-31,118.396,118.396,118.396,118.396,0
1983-02-01,118.2814,118.2814,118.2814,118.2814,0
1983-02-02,119.2782,119.2782,119.2782,119.2782,0
1983-02-03,118.2087,118.2087,118.2087,118.2087,0
1983-02-04,118.4418,118.4418,118.4418,118.4418,0
1983-02-07,117.5548,117.5548,117.5548,117.5548,0
1983-02-08,117.3926,117.3926,117.3926,117.3926,0
1983-02-09,117.1193,117.1193,117.1193,117.1193,0
1983-02-10,116.6268,116.6268,116.6268,116.6268,0
1983-02-11,116.4943,116.4943,116.4943,116.4943,0
1983-02-14,116.6311,116.6311,116.6311,116.6311,0
1983-02-15,116.4185,116.4185,116.4185,116.4185,0
1983-02-16,115.7944,115.7944,115.7944,115.7944,0
1983-02-17,116.132,116.132,116.132,116.132,0
1983-02-18,116.2334,116.2334,116.2334,116.2334,0
1983-02-22,116.6874,116.6874,116.6874,116.6874,0
1983-02-23,117.0431,117.0431,117.0431,117.0431,0
1983-02-24,116.7628,116.7628,116.7628,116.7628,0
1983-02-25,116.9903,116.9903,116.9903,116.9903,0
1983-02-28,117.7879,117.7879,117.7879,117.7879,0
1983-03-01,118.1425,118.1425,118.1425,118.1425,0
1983-03-02,117.6796,117.6796,117.6796,117.6796,0
1983-03-03,117.3642,117.3642,117.3642,117.3642,0
1983-03-04,117.0414,117.0414,117.0414,117.0414,0
1983-03-07,116.8792,116.8792,116.8792,116.8792,0
1983-03-08,118.0546,118.0546,118.0546,118.0546,0
1983-03-09,118.0567,118.0567,118.0567,118.0567,0
1983-03-10,117.771,117.771,117.771,117.771,0
1983-03-11,118.1583,118.1583,118.1583,118.1583,0
1983-03-14,117.439,117.439,117.439,117.439,0
1983-03-15,117.328,117.328,117.328,117.328,0
1983-03-16,117.3817,117.3817,117.3817,117.3817,0
1983-03-17,117.9319,117.9319,117.9319,117.9319,0
1983-03-18,118.4415,118.4415,118.4415,118.4415,0
1983-03-21,119.2478,119.2478,119.2478,119.2478,0
1983-03-22,118.9806,118.9806,118.9806,118.9806,0
1983-03-23,119.2561,119.2561,119.2561,119.2561,0
1983-03-24,118.9417,118.9417,118.9417,118.9417,0
1983-03-25,118.8809,118.8809,118.8809,118.8809,0
1983-03-28,119.7247,119.7247,119.7247,119.7247,0
1983-03-29,119.6493,119.6493,119.6493,119.6493,0
1983-03-30,119.472,119.472,119.472,119.472,0
1983-03-31,119.3866,119.3866,119.3866,119.3866,0
1983-04-01,119.5487,119.5487,119.5487,119.5487,0
1983-04-04,119.2594,119.2594,119.2594,119.2594,0
1983-04-05,118.8445,118.8445,118.8445,118.8445,0
1983-04-06,118.5328,118.5328,118.5328,118.5328,0
1983-04-07,118.8613,118.8613,118.8613,118.8613,0
1983-04-08,119.1724,119.1724,119.1724,119.1724,0
1983-04-11,118.6859,118.6859,118.6859,118.6859,0
1983-04-12,118.5617,118.5617,118.5617,118.5617,0
1983-04-13,118.9529,118.9529,118.9529,118.9529,0
1983-04-14,118.8805,118.8805,118.8805,118.8805,0
1983-04-15,118.6427,118.6427,118.6427,118.6427,0
1983-04-18,118.9825,118.9825,118.9825,118.9825,0
1983-04-19,118.8829,118.8829,118.8829,118.8829,0
1983-04-20,119.0767,119.0767,119.0767,119.0767,0
1983-04-21,118.6587,118.6587,118.6587,118.6587,0
1983-04-22,118.6139,118.6139,118.6139,118.6139,0
1983-04-25,118.2537,118.2537,118.2537,118.2537,0
1983-04-26,118.5404,118.5404,118.5404,118.5404,0
1983-04-27,118.3451,118.3451,118.3451,118.3451,0
1983-04-28,118.912,118.912,118.912,118.912,0
1983-04-29,118.9288,118.9288,118.9288,118.9288,0
